,cases_VE_lower_bound,cases_VE_upper_bound,cases_VE_median,icu_VE_lower_bound,icu_VE_upper_bound,icu_VE_median,deaths_VE_lower_bound,deaths_VE_upper_bound,deaths_VE_median
"01-08-21
08-08-21",18.180057210658063,27.651171383927988,23.09671114202822,74.49058620076545,85.35421799634507,80.24997692891077,79.63228599879636,86.70771342129248,83.42183635128049
"08-08-21
15-08-21",32.465139057033944,40.76475921989168,36.5359128216285,76.26296990279681,86.6340769994418,81.79210714505776,72.83008795714589,83.63060760952864,78.70180479495983
"15-08-21
22-08-21",25.662036468295234,36.709246270853846,31.202719322746688,70.36761841196476,84.81193754437956,78.30986430018358,70.83000955514271,84.66235630418957,78.25713779609706
