,cases_VE_lower_bound,cases_VE_upper_bound,cases_VE_median,icu_VE_lower_bound,icu_VE_upper_bound,icu_VE_median,deaths_VE_lower_bound,deaths_VE_upper_bound,deaths_VE_median
21-70,36.798161064830836,42.63390824480364,39.69141777181191,82.22201477344154,89.09378689738531,85.88877602413935,85.27179640167985,91.64720808443887,88.6851757238544
>70,14.525077563070843,38.445641268836624,27.067370397783375,41.02470080277949,75.60998805574776,60.723773186578114,69.19821118997108,80.70334287406587,75.35708461514908
